,sub,model,theta,phi,SSE,AIC,BIC
0,173,GR,,,7673.0,350.71945050374137,350.71945050374137
1,173,GA,178.4098049748454,,718.0,172.67595338590385,175.0066867261902
2,173,GA_ppSOE,158.6864676816565,,1054.0,201.8506935499382,204.18142689022454
3,173,IA,755.0928553175572,,45.0,-37.82938463921687,-35.49865129893054
4,173,MP,0.03915688721299493,0.07432227330021303,40.0,-44.780895349102,-40.119428668529345
5,173,MP_ppSOE,0.035569066973368264,0.0966133736258926,40.0,-44.780895349102,-40.119428668529345
0,174,GR,,,4401.0,308.4728832158818,308.4728832158818
1,174,GA,683.2741446050633,,170.0,63.18494735405872,65.51568069434506
2,174,GA_ppSOE,99.03973074959944,,384.0,125.11310013490606,127.44383347519242
3,174,IA,113.36775554944737,,353.0,118.71583846516941,121.04657180545573
4,174,MP,0.042357878996118765,-0.0881117277535613,164.0,62.45411465287792,67.11558133345058
5,174,MP_ppSOE,0.2708617943214192,-0.09447545202946636,175.0,67.38800015642589,72.04946683699858
0,175,GR,,,15686.0,405.0640805449573,405.0640805449573
1,175,GA,1652.8910834940757,,1496.0,228.466078186855,230.7968115271413
2,175,GA_ppSOE,1683.236213641437,,1496.0,228.466078186855,230.7968115271413
3,175,IA,2324.484708988056,,2425.0,265.17686319447915,267.50759653476547
4,175,MP,0.02388178123057405,-0.08771101513889497,1480.0,229.648866011859,234.31033269243167
5,175,MP_ppSOE,0.02325904320335333,-0.08540408166025065,1480.0,229.648866011859,234.31033269243167
0,176,GR,,,7302.0,346.95293686662313,346.95293686662313
1,176,GA,234.5796753891657,,366.0,121.46439947674268,123.795132817029
2,176,GA_ppSOE,177.91320165983615,,745.0,175.48146673508538,177.8122000753717
3,176,IA,237.7558722881376,,553.0,152.83147425393628,155.16220759422262
4,176,MP,0.015854622856864675,0.0007377599066442088,211.0,81.60548428241991,86.26695096299255
5,176,MP_ppSOE,0.0565896488834386,-0.0005845225512900671,246.0,93.26946286909842,97.93092954967108
0,177,GR,,,9280.0,365.1711448975376,365.1711448975376
1,177,GA,178.06524389923726,,935.0,192.74580236417904,195.07653570446536
2,177,GA_ppSOE,178.79232802307578,,1065.0,202.6397520771468,204.97048541743308
3,177,IA,7777.623215603237,,505.0,145.93070676316617,148.26144010345254
4,177,MP,0.01010414529360498,0.014003024137426672,497.0,146.71710812158258,151.3785748021553
5,177,MP_ppSOE,0.010663625250041027,0.013928693057259774,497.0,146.71710812158258,151.3785748021553
0,178,GR,,,11341.0,380.413927656204,380.413927656204
1,178,GA,230.49308496759025,,234.0,87.46867090542416,89.79940424571049
2,178,GA_ppSOE,548.0109100786611,,364.0,121.04796007863114,123.37869341891745
3,178,IA,1714.065300219434,,936.0,192.82704235053586,195.15777569082215
4,178,MP,0.11095105285059198,-0.06287000033122976,227.0,87.16046746682545,91.82193414739812
5,178,MP_ppSOE,0.06571143735403293,-0.039169889708355686,288.0,105.2492626285707,109.9107293091434
0,179,GR,,,2362.0,261.17632989179424,261.17632989179424
1,179,GA,81.50073050443288,,267.0,97.4951641766578,99.82589751694412
2,179,GA_ppSOE,76.21340539708316,,859.0,186.30270420904225,188.63343754932856
3,179,IA,78.54123407109203,,148.0,52.65239894431159,54.98313228459792
4,179,MP,0.28136135678817137,-0.05480189121907697,215.0,83.03275627594122,87.69422295651388
5,179,MP_ppSOE,0.32219247831721193,-0.07208831030124148,201.0,77.9154391507286,82.57690583130125
0,180,GR,,,3079.0,281.3236373805009,281.3236373805009
1,180,GA,52.29341563311606,,760.0,176.99646706754746,179.32720040783386
2,180,GA_ppSOE,67.98373473344869,,523.0,148.59245740717301,150.92319074745933
3,180,IA,92.94512359060872,,611.0,160.41163503528009,162.74236837556646
4,180,MP,0.3362441938932516,-0.08606657093147785,683.0,170.87787546561893,175.53934214619156
5,180,MP_ppSOE,0.32354022931038584,-0.09738161974303694,437.0,136.93918896550372,141.60065564607638
0,181,GR,,,9539.0,367.26320536127474,367.26320536127474
1,181,GA,239.76928406954048,,692.0,169.87279876518173,172.2035321054681
2,181,GA_ppSOE,179.85700478731212,,988.0,196.9361511670768,199.26688450736316
3,181,IA,5534.826870264128,,274.0,99.46200222373218,101.79273556401851
4,181,MP,0.011121251783485862,0.08010941696957291,274.0,101.46200222373218,106.12346890430484
5,181,MP_ppSOE,0.0074596655040759016,0.017164943420951415,271.0,100.62529652509609,105.28676320566878
0,183,GR,,,3638.0,294.002657428172,294.002657428172
1,183,GA,116.07956908103168,,999.0,197.7776293155289,200.10836265581528
2,183,GA_ppSOE,76.61735120536238,,803.0,181.17922439819276,183.50995773847907
3,183,IA,106.36008971434993,,658.0,166.04384091896299,168.3745742592493
4,183,MP,0.18639200149804885,0.017859289337891462,880.0,190.13833110612998,194.7997977867027
5,183,MP_ppSOE,0.3160131464065222,-0.0929923774862665,537.0,152.60012132091256,157.26158800148522
0,184,GR,,,3128.0,282.52359786479417,282.52359786479417
1,184,GA,80.34322212124566,,938.0,192.98926226271192,195.31999560299823
2,184,GA_ppSOE,74.80163093728403,,1401.0,223.47982365985138,225.81055700013766
3,184,IA,78.87265010457742,,968.0,195.3819047712587,197.71263811154503
4,184,MP,0.2914458784639657,-0.08742272536684673,1046.0,203.27164312972886,207.93310981030152
5,184,MP_ppSOE,0.32356103428288524,-0.08983483053677467,947.0,195.7149972203808,200.37646390095344
0,185,GR,,,6445.0,337.4648197066087,337.4648197066087
1,185,GA,125.38846027813528,,517.0,147.71552460087946,150.0462579411658
2,185,GA_ppSOE,125.09253321517642,,517.0,147.71552460087946,150.0462579411658
3,185,IA,203.02865371687068,,357.0,119.57218555349142,121.90291889377777
4,185,MP,0.2299000529374295,-0.08939280602665525,321.0,113.49379149612005,118.1552581766927
5,185,MP_ppSOE,0.22433370911607334,-0.09198458328367873,320.0,113.25666181856552,117.9181284991382
0,186,GR,,,9250.0,364.92505725673067,364.92505725673067
1,186,GA,123.68823015205842,,2204.0,257.914483078972,260.24521641925844
2,186,GA_ppSOE,123.527880312913,,1963.0,249.1136849032499,251.44441824353626
3,186,IA,488.8298438771688,,1428.0,224.9305569986031,227.26129033888944
4,186,MP,0.030821601110342926,0.04995253893545351,1464.0,228.8227709218544,233.48423760242702
5,186,MP_ppSOE,0.03087703746132648,0.015352325482678215,1464.0,228.8227709218544,233.48423760242702
0,187,GR,,,6254.0,335.17848302759063,335.17848302759063
1,187,GA,147.8579645546306,,771.0,178.0885825290519,180.41931586933828
2,187,GA_ppSOE,109.61334227578811,,797.0,180.6092217262952,182.93995506658155
