,sub,baseMult,model,theta,phi,SSE,AIC,BIC,time
8,29,6,GA_ppSOE,555.3680433485448,,1029.0,200.02631406162658,202.35704740191292,199.93665218353271
9,29,6,IA,846.5477509030507,,376.0,123.51304103587084,125.84377437615716,317.2045969963074
10,29,6,MP,0.032161549820075394,0.0004468203463900457,460.0,140.8374793389575,145.49894601953017,1347.3516430854795
11,29,6,MP_ppSOE,0.0734142189435194,-0.00821553228075497,484.0,144.70271904870285,149.3641857292755,1274.9785211086273
0,30,4,GR,,,881.0,182.24004073267616,182.24004073267616,0.0
1,30,4,GA,0.02415642324837819,,881.0,188.22464570938845,190.55537904967483,146.2124650478363
2,30,4,GA_ppSOE,25.657476922016233,,980.0,196.3182615847498,198.64899492503613,141.55274200439453
3,30,4,IA,33.927370248056924,,927.0,192.09273712124386,194.42347046153014,211.55191588401797
4,30,4,MP,0.49623528546186996,-0.06550221267067605,527.0,151.17150782738238,155.83297450795504,1424.0060410499573
5,30,4,MP_ppSOE,0.4964179812813421,-0.06619591937311559,527.0,151.17150782738238,155.83297450795504,1329.1158299446104
6,30,6,GR,,,662.0,158.03755716766753,158.03755716766753,0.0
7,30,6,GA,19.744272026911553,,706.0,171.39502418772526,173.72575752801154,259.65324187278753
8,30,6,GA_ppSOE,9.796460343580726,,666.0,166.96228109930843,169.29301443959474,239.1402440071106
9,30,6,IA,41.106636326333366,,661.0,166.389557966967,168.72029130725338,577.4722180366516
10,30,6,MP,0.4826341248641824,0.07559551621334233,614.0,162.78388067742168,167.44534735799434,1475.0725269317627
11,30,6,MP_ppSOE,0.4814018532441002,0.016986505155048348,614.0,162.78388067742168,167.44534735799434,1337.420970916748
0,31,4,GR,,,6016.0,332.0780367874937,332.0780367874937,0.0
1,31,4,GA,190.8562035300547,,831.0,183.78413054725291,186.11486388753926,154.83981013298038
2,31,4,GA_ppSOE,111.80643525353321,,850.0,185.50222869905042,187.8329620393367,123.14043283462523
3,31,4,IA,189.14910669814037,,199.0,75.15543281730025,77.48616615758658,173.5207800865173
4,31,4,MP,0.06156525153543488,-0.010707729369587587,279.0,102.83636155666262,107.49782823723528,1200.8417448997498
5,31,4,MP_ppSOE,0.2424671875547567,-0.0958696540287862,222.0,85.46774716053207,90.12921384110471,1162.3774049282076
6,31,6,GR,,,10441.0,373.9185503629375,373.9185503629375,0.0
7,31,6,GA,177.24446616616922,,758.0,176.7962034470591,179.12693678734541,174.65335607528687
8,31,6,GA_ppSOE,127.69203701770849,,744.0,175.3793847855538,177.71011812584015,197.38660883903503
9,31,6,IA,172.89920187336998,,387.0,125.70454280850224,128.0352761487886,399.5379419326782
10,31,6,MP,0.1988064596174189,-0.05070918010291728,383.0,126.91492531596796,131.57639199654062,1236.2664108276367
11,31,6,MP_ppSOE,0.2566701160789927,-0.09056964935984993,359.0,121.99676766334801,126.65823434392068,1131.893345117569
0,32,4,GR,,,7981.0,353.70098661197176,353.70098661197176,0.0
1,32,4,GA,77.87784217656292,,4114.0,305.34774747441935,307.6784808147057,135.77805209159848
2,32,4,GA_ppSOE,77.4101128667654,,4114.0,305.34774747441935,307.6784808147057,136.62024307250977
3,32,4,IA,162.44147069300115,,3145.0,284.935522992464,287.26625633275034,193.00727605819702
4,32,4,MP,0.2255722722181176,-0.059177694304896736,3082.0,285.3976513451235,290.0591180256962,1136.7052481174471
5,32,4,MP_ppSOE,0.2253173851082453,-0.05666387331558091,3082.0,285.3976513451235,290.0591180256962,1066.7122619152071
6,32,6,GR,,,20540.0,425.48006888387647,425.48006888387647,0.0
7,32,6,GA,178.01281339333843,,6519.0,340.3324625765038,342.66319591679013,178.35789704322815
8,32,6,GA_ppSOE,179.53527371676526,,6519.0,340.3324625765038,342.66319591679013,166.09489798545837
9,32,6,IA,492.4437548851426,,5271.0,324.18239477923464,326.5131281195209,325.5770099163056
10,32,6,MP,0.10160842281582913,0.024872472022146597,5452.0,328.748338392287,333.4098050728597,1156.6161251068115
11,32,6,MP_ppSOE,0.10154208337448567,0.08079897956305783,5452.0,328.748338392287,333.4098050728597,1073.8934581279757
0,33,4,GR,,,10650.0,375.5648241183071,375.5648241183071,0.0
1,33,4,GA,1928.4453887470886,,1473.0,227.28855378939878,229.6192871296851,115.10142302513123
2,33,4,GA_ppSOE,324.57195402670004,,1507.0,229.02285723385245,231.3535905741388,124.8315908908844
3,33,4,IA,1955.8547641740452,,355.0,119.14521813837044,121.47595147865678,162.84374499320984
4,33,4,MP,0.02320130384092112,0.09797276316401744,353.0,120.71583846516941,125.37730514574206,1328.9522168636322
5,33,4,MP_ppSOE,0.024193787624449403,0.051756422336536496,353.0,120.71583846516941,125.37730514574206,1236.9369549751282
6,33,6,GR,,,21894.0,430.3849964903319,430.3849964903319,0.0
7,33,6,GA,1295.6172021509992,,1294.0,217.44177024286316,219.77250358314944,178.89410996437073
8,33,6,GA_ppSOE,763.5987397169048,,1622.0,234.6118239735661,236.94255731385243,174.69820594787598
9,33,6,IA,1449.1276911099578,,194.0,73.22148622705178,75.55221956733811,232.64756298065186
10,33,6,MP,0.019723140550778284,0.002860608431233675,208.0,80.51716019553899,85.17862687611166,1207.5483431816099
11,33,6,MP_ppSOE,0.02010299608939126,0.04781732576793316,211.0,81.60548428241991,86.26695096299255,1164.0388028621676
0,34,4,GR,,,9189.0,363.84937245143544,363.84937245143544,0.0
1,34,4,GA,6814.522998803421,,1332.0,219.64146682186424,221.97220016215059,113.6609148979187
2,34,4,GA_ppSOE,236.81705743933608,,2383.0,263.8490423977433,266.17977573802955,114.21905517578124
3,34,4,IA,778.8069047778316,,192.0,72.43391441235023,74.76464775263656,161.69629693031308
4,34,4,MP,0.09053506200631403,0.08305575479405394,94.0,20.154669590759138,24.8161362713318,1261.424476146698
5,34,4,MP_ppSOE,0.0906350887468219,0.07984726766140259,94.0,20.154669590759138,24.8161362713318,1168.5048370361328
6,34,6,GR,,,15637.0,404.5487584145191,404.5487584145191,0.0
7,34,6,GA,474.77970464959566,,1194.0,211.32915247863244,213.6598858189188,194.14875197410583
8,34,6,GA_ppSOE,256.3386918692027,,2247.0,259.38296282432384,261.71369616461016,181.9404001235962
9,34,6,IA,279.90863102078987,,674.0,167.8697545675742,170.20048790786052,303.4426651000977
10,34,6,MP,0.08520543418920906,0.005257584022795184,650.0,167.11416571785472,171.77563239842738,1251.7891600131986
11,34,6,MP_ppSOE,0.11442713468091666,0.005534474924281505,531.0,151.74617975262618,156.40764643319886,1115.2557709217074
0,35,4,GR,,,4675.0,312.42641367717164,312.42641367717164,0.0
1,35,4,GA,113.94009827497608,,907.0,190.43509234698917,192.7658256872756,134.7264711856842
2,35,4,GA_ppSOE,79.97158849734723,,1481.0,227.70020002259156,230.03093336287787,127.34534001350404
3,35,4,IA,125.07446135872574,,456.0,138.17371966133214,140.50445300161851,209.3464689254761
4,35,4,MP,0.15031349697993054,0.006181085432877962,409.0,131.90661799749176,136.56808467806442,1220.910413980484
5,35,4,MP_ppSOE,0.20129483109687926,0.013755148614872795,443.0,137.97556866166914,142.63703534224183,1149.436632156372
6,35,6,GR,,,10940.0,377.17619189975295,377.17619189975295,0.0
7,35,6,GA,154.00879874652142,,1358.0,221.11065755525559,223.44139089554196,207.48037314414975
8,35,6,GA_ppSOE,127.47515811319427,,2169.0,256.6979009610813,259.0286343013676,220.96889996528625
9,35,6,IA,159.93171379753653,,1169.0,209.72096721011604,212.05170055040242,360.73702096939087
10,35,6,MP,0.2273561257939896,-0.030651976654111762,1274.0,218.2579456842791,222.91941236485172,1200.570286989212
11,35,6,MP_ppSOE,0.20109225109222525,-0.013808959517486464,1275.0,218.31757691527088,222.97904359584354,1157.5154898166654
0,36,4,GR,,,1725.0,234.91922645523204,234.91922645523204,0.0
1,36,4,GA,130.00014871532127,,538.0,150.74151671053448,153.0722500508208,122.19390106201172
2,36,4,GA_ppSOE,51.11047843110449,,1698.0,238.0919500204571,240.42268336074343,150.10427212715152
3,36,4,IA,76.73931643032736,,570.0,155.13262956121213,157.46336290149847,251.1490638256073
4,36,4,MP,0.34158508172437435,0.08955457079996011,226.0,86.82492608293259,91.48639276350524,1111.3698999881744
